State,Latitude,Longitude
Andhra Pradesh,13.0000,80.0000
Arunachal Pradesh,27.5000,94.5000
Assam,26.0000,92.5000
Bihar,25.5000,85.5000
Chhattisgarh,21.0000,82.0000
Goa,15.5000,74.0000
Gujarat,22.5000,71.5000
Haryana,29.0000,76.0000
Himachal Pradesh,32.0000,77.0000
Jharkhand,23.5000,85.5000
Karnataka,13.5000,76.5000
Kerala,10.0000,76.5000
Madhya Pradesh,23.5000,78.0000
Maharashtra,19.5000,75.5000
Manipur,24.7500,93.5000
Meghalaya,25.5000,91.0000
Mizoram,23.2500,92.7500
Nagaland,26.0000,94.5000
Odisha,20.5000,84.5000
Punjab,31.0000,75.0000
Rajasthan,27.0000,74.5000
Sikkim,27.5000,88.5000
Tamil Nadu,11.0000,78.5000
Telangana,17.5000,79.5000
Tripura,24.0000,91.5000
Uttar Pradesh,27.5000,80.5000
Uttarakhand,30.0000,79.5000
West Bengal,22.5000,87.5000
Andaman and Nicobar Islands,11.5000,92.7500
Chandigarh,30.7500,76.7500
Dadra and Nagar Haveli,20.0000,73.0000
Daman and Diu,20.2500,72.7500
Lakshadweep,10.7500,72.7500
Delhi,28.7500,77.2500
Puducherry,11.7500,79.7500

